,state_name,state_name_normalized,city_name,city_name_normalized,place_type,population:normalized,wikidata,centroid
1836,California,california,Redwood City,redwood_city,city,88314,Q505549,POINT (-122.232523 37.4863239)
1839,California,california,Laguna Niguel,laguna_niguel,city,64771,Q948086,POINT (-117.7075526 33.5225261)
1841,California,california,Morgan Hill,morgan_hill,town,45952,Q609084,POINT (-121.6544974 37.130408)
1843,California,california,Oceanside,oceanside,city,174068,Q488924,POINT (-117.379483 33.1958696)
1846,California,california,Tulare,tulare,city,59278,Q616562,POINT (-119.3473421 36.2077351)
1849,California,california,Agoura Hills,agoura_hills,town,22666,Q395793,POINT (-118.7655456 34.1481692)
1850,California,california,Vacaville,vacaville,city,100670,Q850823,POINT (-121.9877444 38.3565773)
1851,California,california,Chowchilla,chowchilla,town,18160,Q985260,POINT (-120.2601754 37.1229997)
1854,California,california,Torrance,torrance,city,142350,Q489197,POINT (-118.3413606 33.8371392)
1855,California,california,Norco,norco,town,27051,Q983606,POINT (-117.5508901 33.9323307)
1856,California,california,Calexico,calexico,town,38633,Q753034,POINT (-115.4927113 32.6713154)
1857,California,california,Saratoga,saratoga,town,30153,Q927163,POINT (-122.0230146 37.2638324)
1858,California,california,San Luis Obispo,san_luis_obispo,town,47339,Q49012,POINT (-120.659615 35.2827525)
1860,California,california,El Cajon,el_cajon,city,106215,Q369947,POINT (-116.962526 32.7947731)
1863,California,california,Culver City,culver_city,town,39403,Q493378,POINT (-118.396466 34.0211224)
1864,California,california,Lathrop,lathrop,town,14924,Q986862,POINT (-121.27661 37.8227046)
1865,California,california,La Cañada Flintridge,la_cañada_flintridge,town,20246,Q1011181,POINT (-118.2005236 34.1998302)
1866,California,california,Rohnert Park,rohnert_park,town,41083,Q986835,POINT (-122.701098 38.3396367)
1875,California,california,Calabasas,calabasas,town,23241,Q629088,POINT (-118.644097 34.1446643)
1876,California,california,Temecula,temecula,city,112011,Q838785,POINT (-117.147366 33.4946353)
1878,California,california,Grand Terrace,grand_terrace,town,12250,Q853677,POINT (-117.3138355 34.0339107)
1879,California,california,Pleasanton,pleasanton,city,81777,Q747444,POINT (-121.8746789 37.6624312)
1881,California,california,Simi Valley,simi_valley,city,121288,Q323414,POINT (-118.7538071 34.2677404)
1886,California,california,Bloomington,bloomington,town,23851,Q885396,POINT (-117.395582 34.0701151)
1890,California,california,Crestline,crestline,town,11650,Q522914,POINT (-117.285599 34.2419509)
1891,California,california,Piedmont,piedmont,town,11135,Q570301,POINT (-122.231635 37.8243715)
1892,California,california,Goleta,goleta,town,29888,Q983840,POINT (-119.8276389 34.4358295)
1893,California,california,Fremont,fremont,city,241110,Q49220,POINT (-121.988571 37.5482697)
1894,California,california,Parlier,parlier,town,13124,Q985259,POINT (-119.5300864 36.611681)
1895,California,california,Selma,selma,town,22710,Q983593,POINT (-119.6120765 36.5707838)
1898,California,california,Turlock,turlock,city,72740,Q1011205,POINT (-120.8465941 37.4946568)
1900,California,california,Lake Arrowhead,lake_arrowhead,town,12401,Q979424,POINT (-117.1913321 34.2489684)
1902,California,california,Walnut,walnut,town,31294,Q850979,POINT (-117.8659441 34.0203253)
1904,California,california,Los Gatos,los_gatos,town,30222,Q747509,POINT (-121.9746797 37.226611)
1908,California,california,Tehachapi,tehachapi,town,14414,Q985253,POINT (-118.4489739 35.1321878)
1915,California,california,Santa Fe Springs,santa_fe_springs,town,17112,Q948045,POINT (-118.0691499 33.9480787)
1918,California,california,Moorpark,moorpark,town,35668,Q983829,POINT (-118.8820414 34.285558)
1919,California,california,Porterville,porterville,city,59988,Q927173,POINT (-119.0167679 36.06523)
1920,California,california,Healdsburg,healdsburg,town,11845,Q852598,POINT (-122.870138 38.6106812)
1921,California,california,Fairfield,fairfield,city,117133,Q323432,POINT (-122.039966 38.2493581)
1929,California,california,Union City,union_city,city,74107,Q846402,POINT (-122.0215737 37.5872576)
1932,California,california,Claremont,claremont,town,35103,Q506398,POINT (-117.7197785 34.0966764)
1933,California,california,McFarland,mcfarland,town,12890,Q977395,POINT (-119.2292748 35.6780104)
1934,California,california,Big Bear City,big_bear_city,town,12738,Q542794,POINT (-116.84503 34.2611183)
1939,California,california,Hillsborough,hillsborough,town,10825,Q1011171,POINT (-122.362529 37.557252)
1940,California,california,Dinuba,dinuba,town,21453,Q986906,POINT (-119.3870656 36.5432837)
1942,California,california,Moraga,moraga,town,17783,Q594122,POINT (-122.12883 37.834897)
1943,California,california,Millbrae,millbrae,town,21536,Q1011108,POINT (-122.400941 37.598958)
1945,California,california,Fontana,fontana,city,196069,Q491128,POINT (-117.43433 34.0922947)
1948,California,california,San Diego Country Estates,san_diego_country_estates,town,10395,Q2078862,POINT (-116.7836352 33.006713)
1951,California,california,San Pablo,san_pablo,town,30990,Q983863,POINT (-122.3455263 37.9621457)
1953,California,california,Petaluma,petaluma,city,60438,Q720087,POINT (-122.636465 38.2325829)
1956,California,california,Placerville,placerville,town,10086,Q927485,POINT (-120.798546 38.7296252)
1959,California,california,Wasco,wasco,town,25545,Q985255,POINT (-119.3409457 35.5941238)
1960,California,california,Bonita,bonita,town,12917,Q892613,POINT (-117.03 32.6577778)
1964,California,california,Perris,perris,city,51397,Q983609,POINT (-117.2298477 33.7818729)
1966,California,california,Oakdale,oakdale,town,19296,Q984607,POINT (-120.8471545 37.7665947)
1967,California,california,Prunedale,prunedale,town,17560,Q3296010,POINT (-121.666641 36.7851358)
1968,California,california,Desert Hot Springs,desert_hot_springs,town,32512,Q573096,POINT (-116.5016784 33.961124)
1970,California,california,Colton,colton,city,51427,Q846606,POINT (-117.3242785 34.0669162)
1971,California,california,American Canyon,american_canyon,town,15919,Q463679,POINT (-122.255183 38.1785248)
1972,California,california,San Bernardino,san_bernardino,city,222101,Q486168,POINT (-117.28946 34.1081621)
1973,California,california,Cherryland,cherryland,town,14728,Q473016,POINT (-122.1032971 37.6793756)
1975,California,california,Hemet,hemet,city,70136,Q948188,POINT (-116.9719684 33.7475203)
1976,California,california,Lancaster,lancaster,city,140804,Q494711,POINT (-118.1366153 34.6981064)
1977,California,california,San Fernando,san_fernando,town,24119,Q846406,POINT (-118.437652 34.28497)
1980,California,california,Greenfield,greenfield,town,14264,Q983596,POINT (-121.243813 36.3207998)
1981,California,california,Kerman,kerman,town,12191,Q984605,POINT (-120.059914 36.7235543)
1986,California,california,Adelanto,adelanto,town,38644,Q354110,POINT (-117.4082453 34.5838077)
1993,California,california,Lodi,lodi,city,66348,Q852647,POINT (-121.2736022 38.1342805)
1996,California,california,Ventura,ventura,city,104423,Q490434,POINT (-119.293174 34.2783355)
1998,California,california,Sacramento,sacramento,city,490712,Q18013,POINT (-121.493895 38.5810606)
1999,California,california,Vallejo,vallejo,city,121692,Q208445,POINT (-122.2566367 38.1040864)
2000,California,california,Bellflower,bellflower,city,74351,Q815979,POINT (-118.1167679 33.8825705)
2001,California,california,Imperial,imperial,town,20263,Q930766,POINT (-115.569439 32.8475529)
2003,California,california,Poway,poway,town,48841,Q540727,POINT (-117.035864 32.9628234)
2005,California,california,Atascadero,atascadero,town,30330,Q653827,POINT (-120.6707255 35.4894169)
2006,California,california,Banning,banning,town,29266,Q806903,POINT (-116.875289 33.9255685)
2007,California,california,Pleasant Hill,pleasant_hill,town,34839,Q950926,POINT (-122.0607963 37.9479786)
2010,California,california,Delhi,delhi,town,10755,Q2205368,POINT (-120.7778887 37.4323856)
2012,California,california,Patterson,patterson,town,20413,Q938238,POINT (-121.1296949 37.471623)
2013,California,california,Lomita,lomita,town,20482,Q984162,POINT (-118.3195014 33.8036545)
2014,California,california,Napa,napa,city,80434,Q60537,POINT (-122.2855293 38.2971367)
2015,California,california,South Lake Tahoe,south_lake_tahoe,town,23844,Q983602,POINT (-119.9780188 38.9319293)
2016,California,california,Maywood,maywood,town,28714,Q774998,POINT (-118.185349 33.9866807)
2019,California,california,Lompoc,lompoc,town,39883,Q852704,POINT (-120.4579009 34.6391501)
2021,California,california,Tustin,tustin,city,69665,Q917513,POINT (-117.826166 33.7458511)
2022,California,california,West Sacramento,west_sacramento,town,44162,Q983600,POINT (-121.530234 38.5804609)
2023,California,california,Bell,bell,town,37332,Q377736,POINT (-118.1866361 33.9747806)
2024,California,california,Bell Gardens,bell_gardens,town,45285,Q815720,POINT (-118.1503953 33.9694561)
2025,California,california,Sanger,sanger,town,23963,Q174427,POINT (-119.5559652 36.708006)
2029,California,california,Oakley,oakley,town,42543,Q950912,POINT (-121.7124536 37.9974219)
2033,California,california,Stockton,stockton,city,305658,Q49240,POINT (-121.290779 37.9577016)
2034,California,california,Rosamond,rosamond,town,18150,Q2005156,POINT (-118.1634075 34.8641446)
2035,California,california,Danville,danville,town,44510,Q846586,POINT (-122.0008254 37.8225892)
2036,California,california,San Bruno,san_bruno,town,41114,Q667738,POINT (-122.4145986 37.6248536)
2037,California,california,Whittier,whittier,city,84015,Q838791,POINT (-118.0338664 33.9749136)
2038,California,california,San Leandro,san_leandro,city,88815,Q851034,POINT (-122.1560768 37.7249296)
2040,California,california,Sunnyvale,sunnyvale,city,152703,Q208459,POINT (-122.036349 37.3688301)
2041,California,california,Redondo Beach,redondo_beach,city,67346,Q840678,POINT (-118.3845942 33.8398289)
2047,California,california,West Hollywood,west_hollywood,town,34399,Q846421,POINT (-118.3692894 34.0923014)
2048,California,california,Canyon Lake,canyon_lake,town,10561,Q656378,POINT (-117.262615 33.6836539)
2050,California,california,Larkspur,larkspur,town,11746,Q984595,POINT (-122.5352539 37.9340915)
2054,California,california,San Rafael,san_rafael,city,58704,Q631915,POINT (-122.5316686 37.9747795)
2055,California,california,Winton,winton,town,10613,Q583115,POINT (-120.6131322 37.3898948)
2056,California,california,Hayward,hayward,city,159203,Q491114,POINT (-122.080796 37.6688205)
2057,California,california,Albany,albany,town,19696,Q671480,POINT (-122.298351 37.8871621)
2060,California,california,Signal Hill,signal_hill,town,11017,Q985349,POINT (-118.168259 33.804826)
2061,California,california,El Centro,el_centro,town,44322,Q495369,POINT (-115.563051 32.792)
2062,California,california,Laguna Woods,laguna_woods,town,18210,Q983826,POINT (-117.7249722 33.6106076)
2063,California,california,Pinole,pinole,town,19250,Q629763,POINT (-122.2988587 38.0043667)
2065,California,california,Monterey,monterey,town,28803,Q487315,POINT (-121.8946388 36.600256)
2066,California,california,Ontario,ontario,city,173351,Q488134,POINT (-117.64843 34.065846)
2067,California,california,Ramona,ramona,town,21468,Q1928388,POINT (-116.8680821 33.0417112)
2068,California,california,Hanford,hanford,city,56910,Q375185,POINT (-119.6461565 36.3277959)
2071,California,california,Hollister,hollister,town,35690,Q936919,POINT (-121.4016021 36.8524545)
2073,California,california,Beaumont,beaumont,town,26625,Q813431,POINT (-116.9763092 33.9299925)
2078,California,california,Cupertino,cupertino,city,59276,Q189471,POINT (-122.0322895 37.3228934)
2080,California,california,Winter Gardens,winter_gardens,town,22380,Q1957613,POINT (-116.9333599 32.8311613)
2081,California,california,Vista,vista,city,98381,Q924241,POINT (-117.2424805 33.2021425)
2082,California,california,Baldwin Park,baldwin_park,city,78568,Q804878,POINT (-117.9611761 34.0854739)
2084,California,california,Morro Bay,morro_bay,town,10135,Q605491,POINT (-120.849901 35.3658075)
2086,California,california,San Jacinto,san_jacinto,town,48867,Q985265,POINT (-116.9589086 33.7839664)
2087,California,california,Rancho San Diego,rancho_san_diego,town,21858,Q1489677,POINT (-116.9353032 32.7472748)
2091,California,california,Ridgecrest,ridgecrest,town,27959,Q862704,POINT (-117.672097 35.6206924)
2093,California,california,Belmont,belmont,town,25835,Q816099,POINT (-122.2941914 37.5164926)
2096,California,california,Folsom,folsom,city,66123,Q984155,POINT (-121.176058 38.6779591)
2098,California,california,Walnut Creek,walnut_creek,city,70166,Q493261,POINT (-122.0618702 37.9020731)
2099,California,california,Solana Beach,solana_beach,town,12941,Q383278,POINT (-117.2678124 32.9919141)
2101,California,california,Carlsbad,carlsbad,city,114746,Q491099,POINT (-117.3505966 33.1580933)
2103,California,california,Benicia,benicia,town,28240,Q817301,POINT (-122.1585777 38.049365)
2104,California,california,Lafayette,lafayette,town,26638,Q284803,POINT (-122.1180201 37.8857582)
2105,California,california,Coronado,coronado,town,20192,Q828753,POINT (-117.1766947 32.6915199)
2106,California,california,South El Monte,south_el_monte,town,21631,Q983845,POINT (-118.0467339 34.0519548)
2107,California,california,Elk Grove,elk_grove,city,166913,Q671314,POINT (-121.3716178 38.4087993)
2110,California,california,Castro Valley,castro_valley,city,61388,Q1020700,POINT (-122.0857432 37.6945519)
2113,California,california,Grover Beach,grover_beach,town,12701,Q986934,POINT (-120.621837 35.1209452)
2114,California,california,Diamond Bar,diamond_bar,city,57759,Q768449,POINT (-117.8103367 34.0286226)
2117,California,california,Imperial Beach,imperial_beach,town,26137,Q917531,POINT (-117.1130487 32.583893)
2118,California,california,Brawley,brawley,town,26416,Q902878,POINT (-115.530267 32.9786566)
2119,California,california,Rancho Cordova,rancho_cordova,city,59921,Q986928,POINT (-121.302728 38.5890723)
2121,California,california,Carpinteria,carpinteria,town,13040,Q588482,POINT (-119.5184564 34.3988838)
2122,California,california,Port Hueneme,port_hueneme,town,21814,Q983853,POINT (-119.1951559 34.1477558)
2126,California,california,La Palma,la_palma,town,15776,Q595175,POINT (-118.0467306 33.846404)
2127,California,california,Sierra Madre,sierra_madre,town,10977,Q174026,POINT (-118.052845 34.1616729)
2128,California,california,Newark,newark,town,49149,Q850812,POINT (-122.0402399 37.5296593)
2130,California,california,Lindsay,lindsay,town,10860,Q984167,POINT (-119.08816 36.2030064)
2132,California,california,Newman,newman,town,10224,Q2836799,POINT (-121.0204222 37.3139487)
2135,California,california,Pomona,pomona,city,154271,Q486868,POINT (-117.7517496 34.0553813)
2137,California,california,East Palo Alto,east_palo_alto,town,32784,Q988697,POINT (-122.141075 37.4688273)
2142,California,california,Escondido,escondido,city,151038,Q372454,POINT (-117.0814849 33.1216751)
2144,California,california,Lake Forest,lake_forest,city,76323,Q752671,POINT (-117.6859213 33.6469261)
2145,California,california,Scotts Valley,scotts_valley,town,11150,Q598266,POINT (-122.014684 37.0510595)
2147,California,california,Discovery Bay,discovery_bay,town,13352,Q2053386,POINT (-121.602247 37.9042862)
2148,California,california,El Cerrito,el_cerrito,town,25508,Q996569,POINT (-122.301411 37.9154056)
2155,California,california,Concord,concord,city,129295,Q490441,POINT (-122.0335624 37.9768525)
2156,California,california,Santa Paula,santa_paula,town,28531,Q985348,POINT (-119.0592705 34.3541659)
2157,California,california,West Covina,west_covina,city,107745,Q494728,POINT (-117.9389526 34.0686208)
2159,California,california,Martinez,martinez,town,38297,Q506439,POINT (-122.1338674 38.0138934)
2163,California,california,Novato,novato,city,51518,Q851004,POINT (-122.5681191 38.1061979)
2165,California,california,Suisun City,suisun_city,town,29663,Q204087,POINT (-122.040244 38.2382474)
2166,California,california,Downey,downey,city,114355,Q488946,POINT (-118.1292846 33.9404441)
2168,California,california,Santa Clarita,santa_clarita,city,182371,Q491132,POINT (-118.5538088 34.4127963)
2170,California,california,Lakeside,lakeside,town,21152,Q2499052,POINT (-116.9222489 32.8572719)
2173,California,california,Atwater,atwater,town,27152,Q595806,POINT (-120.609084 37.3477174)
2176,California,california,Milpitas,milpitas,city,84196,Q927510,POINT (-121.8989248 37.4332273)
2181,California,california,San Carlos,san_carlos,town,27002,Q383234,POINT (-122.261823 37.504936)
2182,California,california,Lamont,lamont,town,15120,Q2079113,POINT (-118.9142666 35.2596833)
2185,California,california,Lemon Grove,lemon_grove,town,27627,Q948206,POINT (-117.0314172 32.7425516)
2188,California,california,Ceres,ceres,town,45417,Q594171,POINT (-120.9577098 37.5949316)
2192,California,california,Huntington Park,huntington_park,city,62165,Q851027,POINT (-118.2252073 33.9805731)
2195,California,california,Santa Maria,santa_maria,city,107408,Q643953,POINT (-120.435857 34.9531295)
2197,California,california,Placentia,placentia,town,49943,Q864130,POINT (-117.8617337 33.8714814)
2201,California,california,Hermosa Beach,hermosa_beach,town,19728,Q828712,POINT (-118.3992143 33.8637822)
2206,California,california,Indio,indio,city,89137,Q838789,POINT (-116.2188054 33.7192808)
2209,California,california,Montclair,montclair,town,35544,Q853691,POINT (-117.6897776 34.0775104)
2210,California,california,Brentwood,brentwood,city,64474,Q846426,POINT (-121.696026 37.9317766)
2212,California,california,Santee,santee,city,60037,Q923799,POINT (-116.9739167 32.8383828)
2213,California,california,Dixon,dixon,town,20698,Q986903,POINT (-121.8232958 38.4454641)
2215,California,california,Antioch,antioch,city,111502,Q495357,POINT (-121.8106925 38.0093296)
2216,California,california,Yucaipa,yucaipa,city,50223,Q598567,POINT (-117.0430865 34.033625)
2219,California,california,Yorba Linda,yorba_linda,city,65314,Q493518,POINT (-117.8249705 33.8901096)
2220,California,california,Coto De Caza,coto_de_caza,town,14866,Q2182879,POINT (-117.586958 33.6037312)
